"","iso2c","year","income_pc","market_wealth","final_consumption","household_expenditure","share_capital_income","share_labor_income","labor_income","Pi","C","K","f","g","r","country"
"1","AT",1996,43009.4915250747,1515439625391.22,72729429487.6333,204230038970.08,0.221888154745102,0.778111815452576,266325089736.066,266325089736.066,276959468457.714,1515439625391.22,0.00739322581756691,0.0535629449230166,0.0609561707405835,"Austria"
"2","AT",1997,43606.0493352465,1528965615856.03,74261374436.9936,205726171179.995,0.228621363639831,0.771378636360168,267987188703.186,267987188703.186,279987545616.989,1528965615856.03,0.00791872979479771,0.00892545650660474,0.0168441863014025,"Austria"
"3","AT",1998,44993.1330089298,1567747916908.76,76792211558.2313,211156755599.989,0.233668103814125,0.766331911087036,275005314678.794,275005314678.794,287948967158.22,1567747916908.76,0.00846562692136077,0.0253650576903326,0.0338306846116934,"Austria"
"4","AT",1999,46015.9320814437,1634515078106.92,80637347785.9589,216062521750.658,0.223095580935478,0.776904404163361,285691326360.475,285691326360.475,296699869536.617,1634515078106.92,0.00702188346570988,0.042587944450797,0.0496098279165069,"Austria"
"5","AT",2000,47770.6424168575,1704851172017.47,80638237576.1627,224470818045.373,0.24053119122982,0.759468793869019,290620468107.218,290620468107.218,305109055621.536,1704851172017.47,0.00886415041891075,0.0430317804054865,0.0518959308243972,"Austria"
"6","AT",2001,47751.3612982353,1734848706013.75,80620347001.5322,228287122964.485,0.241771459579468,0.758228540420532,291086183633.29,291086183633.29,308907469966.017,1734848706013.75,0.0104532798083705,0.0175953974684931,0.0280486772768636,"Austria"
"7","AT",2002,48591.7609885829,1759828876266.69,81417635879.3618,229269219688.136,0.252270847558975,0.747729122638702,293537757170.688,293537757170.688,310686855567.498,1759828876266.69,0.00988506855806176,0.0143990482664854,0.0242841168245472,"Austria"
"8","AT",2003,49031.241952379,1790677576200.88,82792624995.7884,233765640224.807,0.256083756685257,0.743916213512421,296182132660.138,296182132660.138,316558265220.595,1790677576200.88,0.0115784738137056,0.017529374787643,0.0291078486013485,"Austria"
"9","AT",2004,50379.7633888178,1845496065918.95,84007009612.9426,240278146352.264,0.272440224885941,0.727559804916382,299510544795.786,299510544795.786,324285155965.207,1845496065918.95,0.0138353277545268,0.0306132664230796,0.0444485941776064,"Austria"
"10","AT",2005,50367.809095272,1889716764697.37,87970314191.7608,245263498708.382,0.28671807050705,0.71328192949295,295568470017.978,295568470017.978,333233812900.143,1889716764697.37,0.0204093325245914,0.0239614159006038,0.0443707484251951,"Austria"
"11","AT",2006,52806.6135194026,1964010476953.48,90637115468.1654,250959882942.868,0.300014048814774,0.699985921382904,305609005867.641,305609005867.641,341596998411.034,1964010476953.48,0.0190441198467942,0.0393147341675908,0.058358854014385,"Austria"
"12","AT",2007,54654.2588465756,2040722565273.13,91545786072.3951,254457126995.998,0.306256383657455,0.693743586540222,314503295918.708,314503295918.708,346002913068.393,2040722565273.13,0.0160384160468157,0.0390588997461132,0.0550973157929289,"Austria"
"13","AT",2008,55722.0471958747,2074898933148.71,95513081544.5534,257151559153.998,0.298470795154571,0.701529204845428,325278099269.439,325278099269.439,352664640698.552,2074898933148.71,0.0134200218565465,0.0167471896754422,0.0301672115319887,"Austria"
"14","AT",2009,52219.0535645878,2048221822411.45,98638772374.7078,255293635088.196,0.259131342172623,0.740868628025055,322767221174.354,322767221174.354,353932407462.904,2048221822411.45,0.0150200984687266,-0.0128570651375156,0.002163033331211,"Austria"
"15","AT",2010,54088.1652038269,2116738153199.38,99502132123.9434,259949796659.089,0.272586792707443,0.727413237094879,329030829031.103,329030829031.103,359451928783.032,2116738153199.38,0.0148524439194349,0.0334516164402852,0.0483040603597201,"Austria"
"16","AT",2011,54867.7651001191,2155107170395.08,99390018558.2633,266799348997.713,0.274263322353363,0.725736677646637,334133466188.179,334133466188.179,366189367555.976,2155107170395.08,0.0151440088701317,0.0181264825494351,0.0332704914195668,"Austria"
"17","AT",2012,54652.0736531317,2174777999357.1,99874348740.7989,268963634675.227,0.258522927761078,0.741477072238922,341596275918.19,341596275918.19,368837983416.026,2174777999357.1,0.0126405349451098,0.00912754095584707,0.0217680759009568,"Austria"
"18","AT",2013,54317.8675970131,2217413123582.5,100118214437.012,269953860606.421,0.25135463476181,0.74864536523819,344819255177.967,344819255177.967,370072075043.434,2217413123582.5,0.011611677087469,0.0196043569679345,0.0312160340554035,"Austria"
"19","AT",2014,54107.4463224491,2279275129373.57,100154395728.614,270296740471.705,0.256347864866257,0.743652164936066,343869351717.633,343869351717.633,370451136200.319,2279275129373.57,0.0119877456302504,0.0278982771109063,0.0398860227411567,"Austria"
"20","AT",2015,53300.8528600858,2337397362733.11,100821759441.594,269149448141.931,0.250200778245926,0.749799191951752,345393869502.217,345393869502.217,369971207583.525,2337397362733.11,0.0107829624272094,0.025500314819614,0.0362832772468234,"Austria"
"21","AT",2016,54335.6062261455,2404302172896.3,102304276281.881,272406206648.615,0.25953996181488,0.74046003818512,351497923176.354,351497923176.354,374710482930.497,2404302172896.3,0.00993094290437638,0.028623635514396,0.0385545784187724,"Austria"
"22","AT",2017,54523.404321526,2481345831795.08,103704037368.183,279747007420.235,0.248878940939903,0.751121044158936,360289882099.45,360289882099.45,383451044788.419,2481345831795.08,0.00963321621968519,0.0320440832135405,0.0416772994332257,"Austria"
"23","AT",2018,56052.397028269,2569160648567.44,105311556569.529,283244693735.952,0.248742580413818,0.751257419586182,372272106613.378,372272106613.378,388556250305.481,2569160648567.44,0.00656262560560617,0.03538999507732,0.0419526206829262,"Austria"
"24","AT",2019,56915.8055201724,2653959318740.29,107566221765.615,286362181648.133,0.246068745851517,0.753931224346161,381043250443.27,381043250443.27,393928403413.747,2653959318740.29,0.00501531618027161,0.0330063712520816,0.0380216874323532,"Austria"
"25","AU",1960,18403.2321873454,748998639995.082,26238511253.0323,123387245930.298,0.217914894223213,0.782085120677948,147887183779.601,147887183779.601,149625757183.331,748998639995.082,0.00241730810880607,0.0414058342665311,0.0438231423753372,"Australia"
"26","AU",1961,18438.0548442502,786918443711.713,26935603848.9277,127872767487.648,0.211151957511902,0.788848042488098,152840114204.295,152840114204.295,154808371336.576,786918443711.713,0.00262785141010944,0.0506273332043431,0.0532551846144526,"Australia"
"27","AU",1962,18330.8091907864,849400797200.022,28765717845.1189,131373484492.689,0.215308114886284,0.784691870212555,153916227796.694,153916227796.694,160139202337.807,849400797200.022,0.0079080298483806,0.0794013077055279,0.0873093375539085,"Australia"
"28","AU",1963,18884.8552767164,872173156509.396,29612545199.1297,136068860594.188,0.222402393817902,0.777597606182098,160165890533.234,160165890533.234,165681405793.317,872173156509.396,0.0064934189822574,0.0268099104503327,0.0333033294325901,"Australia"
"29","AU",1964,19994.0991706919,953192062003.389,33411538482.0905,141601601392.399,0.234385907649994,0.765614092350006,170246889757.49,170246889757.49,175013139874.489,953192062003.389,0.00546479799501611,0.0928931427083204,0.0983579407033365,"Australia"
